id,metin,etiket,kategori,metin_temiz
6164,Etkinlik bilgileriniz başarıyla güncellendi.,normal,eğlence parkı,etkinlik bilgi başar güncelle
6165,Biletinizi görüntülemek için hemen giriş yapın.,spam,eğlence parkı,bilet görüntülemek heme giriş yap
6166,Aquapark erişiminiz askıya alınmıştır.,spam,eğlence parkı,aquapark eriş askı al
6167,Rezervasyon bilgilerinizi doğrulamanız gerekiyor.,spam,eğlence parkı,rezervasyo bilgi doğrulama gerekiyor
6168,Giriş kodunuz geçersiz görünüyor.,spam,eğlence parkı,giriş kodu geçersiz görünüyor
6169,Etkinlik erişiminizi kaybetmemek için işlem yapın.,spam,eğlence parkı,etkinlik erişim kaybetmemek işle yap
6170,Bilet hesabınız güvenlik nedeniyle sınırlandırıldı.,spam,eğlence parkı,bilet hesap güvenlik neden sınırlandırıl
6171,Yeni kampanya ödülünüzü almak için giriş yapın.,spam,eğlence parkı,ye kampanya ödül almak giriş yap
6172,Rezervasyon doğrulama işlemi eksik görünüyor.,spam,eğlence parkı,rezervasyo doğrula işle eksik görünüyor
6173,Park erişiminiz kısa süre içinde kapanacaktır.,spam,eğlence parkı,park eriş kıs sür iç kapanacak
6174,Bilet bilgilerinizi güncellemek için bağlantıya tıklayın.,spam,eğlence parkı,bilet bilgi güncellemek bağlantı tıklay
6175,Aquapark üyeliğinizi yeniden aktif edin.,spam,eğlence parkı,aquapark üyelik yeni aktif edi
6176,Etkinlik bildiriminizi görmek için giriş yapın.,spam,eğlence parkı,etkinlik bildirim görmek giriş yap
6178,Giriş erişiminiz geçici olarak durduruldu.,spam,eğlence parkı,giriş eriş geçiç durdurul
6179,Bilet kampanyasını kaçırmamak için işlem yapın.,spam,eğlence parkı,bilet kampanya kaçırmamak işle yap
6182,Rezervasyon bilgileriniz eksik görünüyor.,spam,eğlence parkı,rezervasyo bilgi eksik görünüyor
6183,Giriş işleminizi tamamlamak için tıklayın.,spam,eğlence parkı,giriş işlem tamamlamak tıklay
6184,Aquapark hesabınız risk altında görünüyor.,spam,eğlence parkı,aquapark hesap risk alt görünüyor
6185,Bilet erişimi için kimlik doğrulaması yapın.,spam,eğlence parkı,bilet eriş kimlik doğrulamas yap
6187,Rezervasyon erişiminiz güvenlik nedeniyle kapatıldı.,spam,eğlence parkı,rezervasyo eriş güvenlik neden kapatıl
6188,Yeni giriş fırsatını kaçırmayın.,spam,eğlence parkı,ye giriş fırsat kaçırmay
6189,Park kullanım planınızı doğrulayın.,spam,eğlence parkı,park kulla plan doğrulay
6190,Bilet hesabınıza olağandışı giriş tespit edildi.,spam,eğlence parkı,bilet hesap olağandış giriş tespit edil
6191,Etkinlik erişimi için bilgilerinizi girin.,spam,eğlence parkı,etkinlik eriş bilgi gir
6193,Aquapark giriş hakkınızı kaybetmeyin.,spam,eğlence parkı,aquapark giriş hakk kaybetmey
6194,Bilet hesabınızı yeniden etkinleştirin.,spam,eğlence parkı,bilet hesap yeni etkinleştir
6195,Etkinlik planınız askıya alınmıştır.,spam,eğlence parkı,etkinlik pla askı al
6196,Park erişim süreniz doluyor.,spam,eğlence parkı,park eriş süre doluyor
6197,Rezervasyon hesabınızı doğrulamanız gerekiyor.,spam,eğlence parkı,rezervasyo hesap doğrulama gerekiyor
6198,Giriş kodunuzu güncellemek için işlem yapın.,spam,eğlence parkı,giriş kodu güncellemek işle yap
6199,Etkinlik bildirimi tarafınıza ulaştı.,spam,eğlence parkı,etkinlik bildir taraf ulaş
6200,Bilet doğrulama işlemini hemen tamamlayın.,spam,eğlence parkı,bilet doğrula işlem heme tamamlay
6202,Rezervasyon güvenliği için hesabınıza giriş yapın.,spam,eğlence parkı,rezervasyo güvenlik hesap giriş yap
6203,Park hesabınızı kurtarmak için bağlantıya tıklayın.,spam,eğlence parkı,park hesap kurtarmak bağlantı tıklay
6204,Giriş erişiminiz kapanmadan işlemi tamamlayın.,spam,eğlence parkı,giriş eriş kapanma işle tamamlay
6205,Araç rezervasyonunuz başarıyla oluşturuldu.,normal,araç kilrama,araç rezervasyo başar oluşturul
6206,Kiralama sözleşmeniz sisteme kaydedildi.,normal,araç kilrama,kirala sözleşme siste kaydedil
6207,Araç teslim saatiniz güncellendi.,normal,araç kilrama,araç tesl saat güncelle
6210,Araç erişim bilgileriniz gönderildi.,normal,araç kilrama,araç eriş bilgi gönderil
6211,Teslim noktası bilgileri güncellendi.,normal,araç kilrama,tesl noktas bilgi güncelle
6212,Araç kullanım süreniz uzatıldı.,normal,araç kilrama,araç kulla süre uzatıl
6213,Rezervasyon kaydınız başarıyla tamamlandı.,normal,araç kilrama,rezervasyo ka başar tamamla
6214,Araç durumu kontrol edildi.,normal,araç kilrama,araç dur kontrol edil
6215,Kiralama bildirimi tarafınıza iletildi.,normal,araç kilrama,kirala bildir taraf iletil
6216,Araç teslim işlemi tamamlandı.,normal,araç kilrama,araç tesl işle tamamla
6217,Rezervasyon erişiminiz aktif hale getirildi.,normal,araç kilrama,rezervasyo eriş aktif hale getiril
6219,Araç sigorta bilgileriniz güncellendi.,normal,araç kilrama,araç sigor bilgi güncelle
6220,Teslim planınız başarıyla oluşturuldu.,normal,araç kilrama,tesl pla başar oluşturul
6221,Araç kullanım detaylarınız kaydedildi.,normal,araç kilrama,araç kulla detay kaydedil
6222,Rezervasyon süreciniz aktif olarak devam ediyor.,normal,araç kilrama,rezervasyo süreç aktif deva ediyor
6223,Araç teslim kodunuz oluşturuldu.,normal,araç kilrama,araç tesl kodu oluşturul
6224,Kiralama sistemine girişiniz doğrulandı.,normal,araç kilrama,kirala sistem giriş doğrula
6225,Araç erişiminiz başarıyla sağlandı.,normal,araç kilrama,araç eriş başar sağla
6227,Kiralama süreciniz başarıyla tamamlandı.,normal,araç kilrama,kirala süreç başar tamamla
6228,Araç kullanım raporunuz oluşturuldu.,normal,araç kilrama,araç kulla rapor oluşturul
6229,Teslim bilgileri tarafınıza gönderildi.,normal,araç kilrama,tesl bilgi taraf gönderil
6231,Araç bakım kontrolü tamamlandı.,normal,araç kilrama,araç bak kontrolü tamamla
6232,Kiralama hesabınız aktif durumda.,normal,araç kilrama,kirala hesap aktif dur
6233,Teslim süreciniz başarıyla doğrulandı.,normal,araç kilrama,tesl süreç başar doğrula
6234,Araç planlamanız başarıyla işlendi.,normal,araç kilrama,araç planlama başar işle
6235,Rezervasyon bildirimi hesabınıza gönderildi.,normal,araç kilrama,rezervasyo bildir hesap gönderil
6236,Araç kullanım geçmişiniz güncellendi.,normal,araç kilrama,araç kulla geçmiş güncelle
6238,Teslim noktası başarıyla kaydedildi.,normal,araç kilrama,tesl noktas başar kaydedil
6239,Araç işlem bilgileriniz oluşturuldu.,normal,araç kilrama,araç işle bilgi oluşturul
6241,Araç erişim süreniz uzatıldı.,normal,araç kilrama,araç eriş süre uzatıl
6242,Teslim işlemi başarıyla tamamlandı.,normal,araç kilrama,tesl işle başar tamamla
6243,Rezervasyon süreciniz başarıyla kaydedildi.,normal,araç kilrama,rezervasyo süreç başar kaydedil
6244,Araç rezervasyonunuzu görüntülemek için giriş yapın.,spam,araç kiralama,araç rezervasyon görüntülemek giriş yap
6245,Kiralama hesabınız askıya alınmıştır.,spam,araç kiralama,kirala hesap askı al
6246,Araç teslim bilgilerinizi doğrulamanız gerekiyor.,spam,araç kiralama,araç tesl bilgi doğrulama gerekiyor
6247,Araç erişiminizi kaybetmemek için işlem yapın.,spam,araç kiralama,araç erişim kaybetmemek işle yap
6248,Kiralama bilgileriniz eksik görünüyor.,spam,araç kiralama,kirala bilgi eksik görünüyor
6249,Teslim kodunuzu güncellemek için tıklayın.,spam,araç kiralama,tesl kodu güncellemek tıklay
6250,Araç hesabınıza olağandışı giriş tespit edildi.,spam,araç kiralama,araç hesap olağandış giriş tespit edil
6251,Rezervasyon süreciniz güvenlik nedeniyle durduruldu.,spam,araç kiralama,rezervasyo süreç güvenlik neden durdurul
6252,Kiralama erişiminiz kısa süre içinde kapanacaktır.,spam,araç kiralama,kirala eriş kıs sür iç kapanacak
6253,Araç teslim planınızı doğrulayın.,spam,araç kiralama,araç tesl plan doğrulay
6254,Rezervasyon hesabınızı yeniden aktif edin.,spam,araç kiralama,rezervasyo hesap yeni aktif edi
6255,Araç kullanım hakkınız askıya alındı.,spam,araç kiralama,araç kulla hakk askı al
6256,Teslim erişiminizi görmek için giriş yapın.,spam,araç kiralama,tesl erişim görmek giriş yap
6257,Kiralama bildiriminizi görüntülemek için tıklayın.,spam,araç kiralama,kirala bildirim görüntülemek tıklay
6258,Araç planınızı tamamlamanız gerekiyor.,spam,araç kiralama,araç plan tamamlama gerekiyor
6261,Araç hesabınızı doğrulamazsanız erişim kapanacaktır.,spam,araç kiralama,araç hesap doğrulamaz eriş kapanacak
6262,Teslim bilgilerinizi hemen güncelleyin.,spam,araç kiralama,tesl bilgi heme güncelley
6263,Araç erişimi için kimlik doğrulaması yapın.,spam,araç kiralama,araç eriş kimlik doğrulamas yap
6264,Rezervasyon güvenlik işlemini tamamlayın.,spam,araç kiralama,rezervasyo güvenlik işlem tamamlay
6265,Kiralama hesabınızı kurtarmak için giriş yapın.,spam,araç kiralama,kirala hesap kurtarmak giriş yap
6266,Araç teslim süreciniz başarısız oldu.,spam,araç kiralama,araç tesl süreç başarıs ol
6267,Rezervasyon bildirimi tarafınıza ulaştı.,spam,araç kiralama,rezervasyo bildir taraf ulaş
6268,Kiralama erişimi için bilgilerinizi girin.,spam,araç kiralama,kirala eriş bilgi gir
6269,Araç hesabınız risk altında görünüyor.,spam,araç kiralama,araç hesap risk alt görünüyor
6270,Teslim planınızı yeniden doğrulayın.,spam,araç kiralama,tesl plan yeni doğrulay
6271,Kiralama işleminiz beklemeye alındı.,spam,araç kiralama,kirala işle bekleme al
6272,Araç erişiminizi aktif hale getirin.,spam,araç kiralama,araç erişim aktif hale getir
6273,Rezervasyon hesabınızı güncellemeniz gerekiyor.,spam,araç kiralama,rezervasyo hesap güncelleme gerekiyor
6274,Teslim doğrulama işlemi eksik görünüyor.,spam,araç kiralama,tesl doğrula işle eksik görünüyor
6275,Kiralama hesabınıza yeniden giriş yapın.,spam,araç kiralama,kirala hesap yeni giriş yap
6276,Araç kullanım planınızı doğrulayın.,spam,araç kiralama,araç kulla plan doğrulay
6277,Rezervasyon süreciniz iptal edilmek üzere.,spam,araç kiralama,rezervasyo süreç iptal edilmek
6278,Kiralama güvenlik bildiriminizi görüntüleyin.,spam,araç kiralama,kirala güvenlik bildirim görüntüley
6279,Araç teslim erişiminiz geçici olarak kapatıldı.,spam,araç kiralama,araç tesl eriş geçiç kapatıl
6280,Rezervasyon doğrulama işlemini hemen tamamlayın.,spam,araç kiralama,rezervasyo doğrula işlem heme tamamlay
6281,Kiralama hesabınızı yeniden etkinleştirin.,spam,araç kiralama,kirala hesap yeni etkinleştir
6282,Araç erişiminizi kaybetmeden işlem yapın.,spam,araç kiralama,araç erişim kaybetme işle yap
6283,Tur rezervasyonunuz başarıyla oluşturuldu.,normal,seyahat,tur rezervasyo başar oluşturul
6286,Tur programınız hesabınıza tanımlandı.,normal,seyahat,tur progra hesap tanımla
6287,Seyahat belgeleriniz başarıyla yüklendi.,normal,seyahat,seyahat belge başar yükle
6288,Rezervasyon detaylarınız tarafınıza gönderildi.,normal,seyahat,rezervasyo detay taraf gönderil
6289,Tur başlangıç saati güncellendi.,normal,seyahat,tur başlangıç saati güncelle
6290,Seyahat planlamanız başarıyla tamamlandı.,normal,seyahat,seyahat planlama başar tamamla
6291,Tur erişiminiz aktif hale getirildi.,normal,seyahat,tur eriş aktif hale getiril
6292,Rezervasyon kaydınız başarıyla doğrulandı.,normal,seyahat,rezervasyo ka başar doğrula
6293,Seyahat bildirimi tarafınıza iletildi.,normal,seyahat,seyahat bildir taraf iletil
6294,Tur katılım bilgileriniz oluşturuldu.,normal,seyahat,tur katıl bilgi oluşturul
6295,Rezervasyon sisteminiz başarıyla güncellendi.,normal,seyahat,rezervasyo siste başar güncelle
6297,Tur planınız başarıyla kaydedildi.,normal,seyahat,tur pla başar kaydedil
6299,Seyahat süreciniz aktif olarak devam ediyor.,normal,seyahat,seyahat süreç aktif deva ediyor
6300,Tur rehberi bilgileri güncellendi.,normal,seyahat,tur rehber bilgi güncelle
6301,Rezervasyon kodunuz başarıyla oluşturuldu.,normal,seyahat,rezervasyo kodu başar oluşturul
6302,Seyahat detaylarınız sisteme işlendi.,normal,seyahat,seyahat detay siste işle
6303,Tur ödeme bilgileriniz doğrulandı.,normal,seyahat,tur öde bilgi doğrula
6304,Konaklama planınız başarıyla oluşturuldu.,normal,seyahat,konakla pla başar oluşturul
6305,Seyahat erişiminiz aktif durumdadır.,normal,seyahat,seyahat eriş aktif dur
6306,Tur bildirimi hesabınıza gönderildi.,normal,seyahat,tur bildir hesap gönderil
6308,Seyahat süreniz başarıyla kaydedildi.,normal,seyahat,seyahat süre başar kaydedil
6309,Tur başlangıç bilgileri tarafınıza iletildi.,normal,seyahat,tur başlangıç bilgi taraf iletil
6310,Rezervasyon erişiminiz başarıyla doğrulandı.,normal,seyahat,rezervasyo eriş başar doğrula
6311,Seyahat belgeleriniz görüntülenebilir durumda.,normal,seyahat,seyahat belge görüntülenebilir dur
6312,Tur sistemi başarıyla çalışmaktadır.,normal,seyahat,tur siste başar çalışmak
6314,Seyahat planınız yeniden düzenlendi.,normal,seyahat,seyahat pla yeni düzenle
6315,Tur erişim bilgileriniz güncellendi.,normal,seyahat,tur eriş bilgi güncelle
6316,Konaklama doğrulama süreci tamamlandı.,normal,seyahat,konakla doğrula süreç tamamla
6317,Seyahat işlemleriniz başarıyla kaydedildi.,normal,seyahat,seyahat işle başar kaydedil
6318,Tur üyeliğiniz aktif hale getirildi.,normal,seyahat,tur üyelik aktif hale getiril
6319,Seyahat bildiriminiz tarafınıza ulaştı.,normal,seyahat,seyahat bildir taraf ulaş
6320,Tur detaylarınız başarıyla oluşturuldu.,normal,seyahat,tur detay başar oluşturul
6321,Konaklama erişim planınız güncellendi.,normal,seyahat,konakla eriş pla güncelle
6322,Tur rezervasyonunuzu görüntülemek için giriş yapın.,spam,seyahat,tur rezervasyon görüntülemek giriş yap
6323,Seyahat hesabınız güvenlik nedeniyle askıya alındı.,spam,seyahat,seyahat hesap güvenlik neden askı al
6325,Konaklama erişiminizi kaybetmemek için işlem yapın.,spam,seyahat,konakla erişim kaybetmemek işle yap
6326,Tur planınız kısa süre içinde iptal edilecektir.,spam,seyahat,tur pla kıs sür iç iptal edilecek
6327,Seyahat belgelerinizi doğrulamanız gerekiyor.,spam,seyahat,seyahat belge doğrulama gerekiyor
6328,Rezervasyon hesabınıza olağandışı giriş tespit edildi.,spam,seyahat,rezervasyo hesap olağandış giriş tespit edil
6329,Tur erişiminiz geçici olarak kapatıldı.,spam,seyahat,tur eriş geçiç kapatıl
6330,Seyahat planınızı güncellemek için bağlantıya tıklayın.,spam,seyahat,seyahat plan güncellemek bağlantı tıklay
6332,Tur hesabınızı yeniden aktif edin.,spam,seyahat,tur hesap yeni aktif edi
6333,Konaklama bilgileriniz eksik görünüyor.,spam,seyahat,konakla bilgi eksik görünüyor
6334,Seyahat erişiminizi doğrulamak için giriş yapın.,spam,seyahat,seyahat erişim doğrulamak giriş yap
6335,Rezervasyon planınızı tamamlamanız gerekiyor.,spam,seyahat,rezervasyo plan tamamlama gerekiyor
6336,Tur bildiriminizi görüntülemek için tıklayın.,spam,seyahat,tur bildirim görüntülemek tıklay
6337,Seyahat hesabınız risk altında görünüyor.,spam,seyahat,seyahat hesap risk alt görünüyor
6339,Tur erişim planınızı doğrulayın.,spam,seyahat,tur eriş plan doğrulay
6340,Konaklama hesabınızı güncellemeniz gerekiyor.,spam,seyahat,konakla hesap güncelleme gerekiyor
6341,Seyahat güvenlik işleminizi tamamlayın.,spam,seyahat,seyahat güvenlik işlem tamamlay
6342,Tur planınızı kaybetmemek için işlem yapın.,spam,seyahat,tur plan kaybetmemek işle yap
6343,Seyahat hesabınıza yeniden giriş yapın.,spam,seyahat,seyahat hesap yeni giriş yap
6344,Rezervasyon erişimi için bilgilerinizi girin.,spam,seyahat,rezervasyo eriş bilgi gir
6345,Tur erişiminiz güvenlik nedeniyle durduruldu.,spam,seyahat,tur eriş güvenlik neden durdurul
6347,Rezervasyon doğrulama süreciniz başarısız oldu.,spam,seyahat,rezervasyo doğrula süreç başarıs ol
6348,Tur hesabınızı korumak için giriş yapın.,spam,seyahat,tur hesap korumak giriş yap
6350,Seyahat bilgilerinizi hemen güncelleyin.,spam,seyahat,seyahat bilgi heme güncelley
6351,Rezervasyon işleminiz beklemeye alındı.,spam,seyahat,rezervasyo işle bekleme al
6352,Tur planınızı yeniden doğrulayın.,spam,seyahat,tur plan yeni doğrulay
6353,Seyahat erişiminiz kısa süre içinde kapanacaktır.,spam,seyahat,seyahat eriş kıs sür iç kapanacak
6354,Rezervasyon hesabınızı yeniden etkinleştirin.,spam,seyahat,rezervasyo hesap yeni etkinleştir
6355,Tur üyeliğinizi doğrulamanız gerekiyor.,spam,seyahat,tur üyelik doğrulama gerekiyor
6356,Seyahat planlama erişiminizi kaybetmeyin.,spam,seyahat,seyahat planla erişim kaybetmey
6358,Tur hesabınızı kurtarmak için bağlantıya tıklayın.,spam,seyahat,tur hesap kurtarmak bağlantı tıklay
6359,Konaklama planınızı tamamlamak için giriş yapın.,spam,seyahat,konakla plan tamamlamak giriş yap
6360,Seyahat erişim güvenliği nedeniyle işlem gerekmektedir.,spam,seyahat,seyahat eriş güvenlik neden işle gerekmek
6361,Burs başvurunuz başarıyla alındı.,normal,burs,burs başvur başar al
6362,Öğrenci destek talebiniz sisteme kaydedildi.,normal,burs,öğrenci destek talep siste kaydedil
6364,Burs değerlendirme süreci başlatıldı.,normal,burs,burs değerlendirme süreç başlatıl
6367,Burs ödeme planınız oluşturuldu.,normal,burs,burs öde pla oluşturul
6368,Öğrenci hesabınız başarıyla doğrulandı.,normal,burs,öğrenci hesap başar doğrula
6370,Destek programı erişiminiz aktif hale getirildi.,normal,burs,destek progra eriş aktif hale getiril
6371,Burs komisyonu inceleme sürecini tamamladı.,normal,burs,burs komisyo incele süreç tamamladı
6372,Öğrenci kaydınız başarıyla güncellendi.,normal,burs,öğrenci ka başar güncelle
6373,Başvuru detaylarınız tarafınıza gönderildi.,normal,burs,başvur detay taraf gönderil
6374,Burs erişim bilgileriniz oluşturuldu.,normal,burs,burs eriş bilgi oluşturul
6375,Öğrenci destek bildirimi hesabınıza iletildi.,normal,burs,öğrenci destek bildir hesap iletil
6376,Başvuru planınız başarıyla kaydedildi.,normal,burs,başvur pla başar kaydedil
6377,Burs süreciniz aktif olarak devam ediyor.,normal,burs,burs süreç aktif deva ediyor
6378,Öğrenci ödeme bilgileriniz doğrulandı.,normal,burs,öğrenci öde bilgi doğrula
6379,Başvuru belgeleriniz sisteme işlendi.,normal,burs,başvur belge siste işle
6380,Burs değerlendirme raporunuz oluşturuldu.,normal,burs,burs değerlendirme rapor oluşturul
6381,Öğrenci destek sistemine girişiniz kaydedildi.,normal,burs,öğrenci destek sistem giriş kaydedil
6382,Burs ödeme işlemi başarıyla tamamlandı.,normal,burs,burs öde işle başar tamamla
6383,Öğrenci erişim planınız oluşturuldu.,normal,burs,öğrenci eriş pla oluşturul
6385,Burs sisteminiz başarıyla güncellendi.,normal,burs,burs siste başar güncelle
6387,Başvuru süreci başarıyla devam etmektedir.,normal,burs,başvur süreç başar deva etmek
6388,Burs bildirimi tarafınıza gönderildi.,normal,burs,burs bildir taraf gönderil
6389,Öğrenci destek erişiminiz doğrulandı.,normal,burs,öğrenci destek eriş doğrula
6391,Burs verileriniz sisteme kaydedildi.,normal,burs,burs ver siste kaydedil
6392,Öğrenci hesabınız aktif durumdadır.,normal,burs,öğrenci hesap aktif dur
6393,Başvuru belgeleriniz başarıyla görüntülendi.,normal,burs,başvur belge başar görüntüle
6395,Öğrenci destek programı güncellendi.,normal,burs,öğrenci destek progra güncelle
6397,Burs erişiminiz başarıyla sağlandı.,normal,burs,burs eriş başar sağla
6398,Öğrenci kaydınız sisteme işlendi.,normal,burs,öğrenci ka siste işle
6399,Başvuru süreciniz başarıyla tamamlandı.,normal,burs,başvur süreç başar tamamla
6400,Burs başvurunuzu doğrulamak için giriş yapın.,spam,burs,burs başvur doğrulamak giriş yap
6402,Başvuru belgeleriniz eksik görünüyor.,spam,burs,başvur belge eksik görünüyor
6403,Burs ödemenizi almak için işlem yapın.,spam,burs,burs ödeme almak işle yap
6404,Öğrenci destek erişiminiz kısa süre içinde kapanacaktır.,spam,burs,öğrenci destek eriş kıs sür iç kapanacak
6405,Başvuru planınızı güncellemeniz gerekiyor.,spam,burs,başvur plan güncelleme gerekiyor
6406,Burs hesabınıza olağandışı giriş tespit edildi.,spam,burs,burs hesap olağandış giriş tespit edil
6407,Öğrenci bilgilerinizi doğrulamazsanız erişiminiz kapanacaktır.,spam,burs,öğrenci bilgi doğrulamaz eriş kapanacak
6408,Başvuru sonucunu görüntülemek için bağlantıya tıklayın.,spam,burs,başvur sonuç görüntülemek bağlantı tıklay
6409,Burs erişiminiz güvenlik nedeniyle sınırlandırıldı.,spam,burs,burs eriş güvenlik neden sınırlandırıl
6410,Öğrenci ödeme planınızı doğrulayın.,spam,burs,öğrenci öde plan doğrulay
6411,Başvuru işleminiz beklemeye alındı.,spam,burs,başvur işle bekleme al
6412,Burs hesabınızı yeniden aktif edin.,spam,burs,burs hesap yeni aktif edi
6413,Öğrenci destek bildiriminizi görüntüleyin.,spam,burs,öğrenci destek bildirim görüntüley
6414,Başvuru süreciniz iptal edilmek üzere.,spam,burs,başvur süreç iptal edilmek
6415,Burs bilgilerinizi güncellemek için giriş yapın.,spam,burs,burs bilgi güncellemek giriş yap
6416,Öğrenci erişiminizi doğrulamanız gerekmektedir.,spam,burs,öğrenci erişim doğrulama gerekmek
6417,Başvuru doğrulama işlemi eksik görünüyor.,spam,burs,başvur doğrula işle eksik görünüyor
6418,Burs hesabınız risk altında görünüyor.,spam,burs,burs hesap risk alt görünüyor
6419,Öğrenci destek planınızı kaybetmeyin.,spam,burs,öğrenci destek plan kaybetmey
6420,Başvuru erişiminiz geçici olarak kapatıldı.,spam,burs,başvur eriş geçiç kapatıl
6421,Burs ödeme doğrulaması gerekmektedir.,spam,burs,burs öde doğrulamas gerekmek
6422,Öğrenci hesabınıza yeniden giriş yapın.,spam,burs,öğrenci hesap yeni giriş yap
6423,Başvuru bilgilerinizi hemen güncelleyin.,spam,burs,başvur bilgi heme güncelley
6424,Burs erişiminiz askıya alınmıştır.,spam,burs,burs eriş askı al
6425,Öğrenci destek planınızı tamamlamak için işlem yapın.,spam,burs,öğrenci destek plan tamamlamak işle yap
6426,Başvuru bildiriminiz tarafınıza ulaştı.,spam,burs,başvur bildir taraf ulaş
6427,Burs güvenlik doğrulamasını tamamlayın.,spam,burs,burs güvenlik doğrulama tamamlay
6428,Öğrenci hesabınızı korumak için giriş yapın.,spam,burs,öğrenci hesap korumak giriş yap
6429,Başvuru belgelerinizi yeniden yükleyin.,spam,burs,başvur belge yeni yükley
6430,Burs erişiminizi kaybetmemek için doğrulama yapın.,spam,burs,burs erişim kaybetmemek doğrula yap
6431,Öğrenci ödeme hesabınız doğrulanamadı.,spam,burs,öğrenci öde hesap doğrulanamadı
6432,Başvuru planınızı tekrar onaylayın.,spam,burs,başvur plan tekrar onaylay
6433,Burs erişim süreniz dolmaktadır.,spam,burs,burs eriş süre dolmak
6434,Öğrenci destek hesabınızı yeniden etkinleştirin.,spam,burs,öğrenci destek hesap yeni etkinleştir
6435,Başvuru süreciniz güvenlik nedeniyle durduruldu.,spam,burs,başvur süreç güvenlik neden durdurul
6436,Burs doğrulama işlemi başarısız oldu.,spam,burs,burs doğrula işle başarıs ol
6437,Öğrenci bilgilerinizi doğrulamak için bağlantıya tıklayın.,spam,burs,öğrenci bilgi doğrulamak bağlantı tıklay
6438,Başvuru erişimi için hesabınıza giriş yapın.,spam,burs,başvur eriş hesap giriş yap
6439,Burs hesabınızı hemen doğrulamanız gerekiyor.,spam,burs,burs hesap heme doğrulama gerekiyor
6440,Üretim hattı başarıyla çalıştırıldı.,normal,fabrika,üret hat başar çalıştırıl
6441,Makine bakım raporu sisteme kaydedildi.,normal,fabrika,mak bak rapor siste kaydedil
6443,Parça kontrol süreci tamamlandı.,normal,fabrika,parça kontrol süreç tamamla
6444,Üretim verileri başarıyla işlendi.,normal,fabrika,üret veri başar işle
6445,Makine performans analizi oluşturuldu.,normal,fabrika,mak performans analiz oluşturul
6446,Üretim hattı erişiminiz aktif hale getirildi.,normal,fabrika,üret hat eriş aktif hale getiril
6447,Bakım planı başarıyla oluşturuldu.,normal,fabrika,bak pla başar oluşturul
6448,Üretim süreci aktif olarak devam ediyor.,normal,fabrika,üret süreç aktif deva ediyor
6449,Makine arıza kaydı başarıyla oluşturuldu.,normal,fabrika,mak arız ka başar oluşturul
6450,Parça stok bilgileri güncellendi.,normal,fabrika,parça stok bilgi güncelle
6451,Üretim sistemi başarıyla senkronize edildi.,normal,fabrika,üret siste başar senkro edil
6452,Hat kontrol işlemi tamamlandı.,normal,fabrika,hat kontrol işle tamamla
6453,Üretim raporu tarafınıza gönderildi.,normal,fabrika,üret rapor taraf gönderil
6455,Üretim planlaması başarıyla kaydedildi.,normal,fabrika,üret planlamas başar kaydedil
6456,Bakım bildirimi hesabınıza iletildi.,normal,fabrika,bak bildir hesap iletil
6457,Parça değişim işlemi tamamlandı.,normal,fabrika,parça değiş işle tamamla
6458,Üretim hattı verileri güncellendi.,normal,fabrika,üret hat veri güncelle
6459,Makine sistem erişimi aktif durumdadır.,normal,fabrika,mak siste eriş aktif dur
6460,Üretim kaydınız başarıyla doğrulandı.,normal,fabrika,üret ka başar doğrula
6461,Hat analiz raporu oluşturuldu.,normal,fabrika,hat analiz rapor oluşturul
6462,Bakım süreci başarıyla tamamlandı.,normal,fabrika,bak süreç başar tamamla
6464,Makine kontrol işlemi başarıyla gerçekleştirildi.,normal,fabrika,mak kontrol işle başar gerçekleştiril
6466,Üretim sistemi başarıyla çalışmaktadır.,normal,fabrika,üret siste başar çalışmak
6467,Hat performans raporunuz oluşturuldu.,normal,fabrika,hat performans rapor oluşturul
6469,Üretim süreci kaydınız oluşturuldu.,normal,fabrika,üret süreç ka oluşturul
6470,Makine verileri sisteme işlendi.,normal,fabrika,mak veri siste işle
6471,Üretim hattı bildirimi gönderildi.,normal,fabrika,üret hat bildir gönderil
6472,Parça erişim bilgileriniz güncellendi.,normal,fabrika,parça eriş bilgi güncelle
6474,Üretim planınız başarıyla işlendi.,normal,fabrika,üret pla başar işle
6475,Makine güvenlik kontrolleri tamamlandı.,normal,fabrika,mak güvenlik kontrol tamamla
6476,Hat erişiminiz aktif hale getirildi.,normal,fabrika,hat eriş aktif hale getiril
6477,Üretim raporunuz başarıyla görüntülendi.,normal,fabrika,üret rapor başar görüntüle
6479,Parça işlem süreciniz tamamlandı.,normal,fabrika,parça işle süreç tamamla
6480,Üretim hattı erişiminizi doğrulamak için giriş yapın.,spam,fabrika,üret hat erişim doğrulamak giriş yap
6481,Makine hesabınız güvenlik nedeniyle askıya alındı.,spam,fabrika,mak hesap güvenlik neden askı al
6483,Üretim sistemi erişiminiz kapanmak üzere.,spam,fabrika,üret siste eriş kapanmak
6484,Makine kontrol bilgilerinizi güncelleyin.,spam,fabrika,mak kontrol bilgi güncelley
6485,Hat erişiminizi kaybetmemek için işlem yapın.,spam,fabrika,hat erişim kaybetmemek işle yap
6486,Üretim verileriniz eksik görünüyor.,spam,fabrika,üret ver eksik görünüyor
6487,Bakım erişimi için hesabınıza giriş yapın.,spam,fabrika,bak eriş hesap giriş yap
