id;metin;etiket;kategori
1779;Deneyim gerektirmeyen bu iş modeli ile hızlı kazanç elde etmek için başvurunuzu tamamlayın.;spam;iş dolandırıcılığı
1780;Size özel oluşturulan iş teklifini değerlendirmek için bilgilerinizi paylaşmanız gerekmektedir.;spam;iş dolandırıcılığı
1781;Yeni iş fırsatları kapsamında finansal işlem yönetimi yaparak gelir elde edebilirsiniz.;spam;iş dolandırıcılığı
1782;Uzun süredir sizinle iletişim kurmak istiyordum ve size özel bir konuda yardım talebinde bulunmak için yazıyorum.;spam;sosyal
1783;Sizinle tanıştıktan sonra aramızda özel bir bağ oluştuğunu düşünüyorum ve güveninize ihtiyacım var.;spam;sosyal
1784;Zor bir durumdayım ve sadece sizin desteğinizle bu süreci atlatabileceğime inanıyorum.;spam;sosyal
1785;Sizin gibi güvenilir birine ihtiyacım var ve bu nedenle sizinle iletişime geçtim.;spam;sosyal
1786;Kısa sürede güçlü bir bağ kurduğumuzu hissediyorum ve bu yüzden sizden bir ricada bulunacağım.;spam;sosyal
1787;Şu anda acil bir durumdayım ve maddi olarak desteğinize ihtiyacım var.;spam;sosyal
1788;Sizinle daha yakın bir iletişim kurmak istiyorum ve bu nedenle size ulaşmaya çalışıyorum.;spam;sosyal
1789;Güvendiğim kişiler arasında yer aldığınız için sizinle bu durumu paylaşmak istedim.;spam;sosyal
1790;Hayatımda zor bir dönemden geçiyorum ve desteğinize ihtiyacım var.;spam;sosyal
1791;Sizinle özel olarak konuşmak istediğim bir konu var ve yardımınıza ihtiyacım bulunuyor.;spam;sosyal
1792;Oyun hesabınıza özel tanımlanan ödülleri almak için giriş yapmanız gerekmektedir.;spam;oyun
1793;Hesabınıza ücretsiz oyun içi para yüklenmiştir ve aktif etmek için doğrulama yapmanız gerekmektedir.;spam;oyun
1794;Oyunda kazandığınız özel eşyaları almak için hesabınızı doğrulamanız gerekmektedir.;spam;oyun
1795;Hesabınıza tanımlanan bonusları kullanabilmek için giriş yapmanız gerekmektedir.;spam;oyun
1796;Oyun içi ödülleriniz aktif edilmiştir ve kullanmak için işlem yapmanız gerekmektedir.;spam;oyun
1797;Kazandığınız dijital ürünleri almak için bilgilerinizi girmeniz gerekmektedir.;spam;oyun
1798;Hesabınıza tanımlanan premium özellikleri aktif etmek için doğrulama yapın.;spam;oyun
1799;Oyun içi kazançlarınızı kullanabilmek için sistem üzerinden işlem yapmanız gerekmektedir.;spam;oyun
1800;Hesabınıza özel tanımlanan avantajları kaçırmamak için giriş yapın.;spam;oyun
1801;Dijital ödüllerinizi almak için hesap doğrulaması gerekmektedir.;spam;oyun
1802;Yeni geliştirilen sağlık ürünü sayesinde kısa sürede etkili sonuçlar elde edebilirsiniz.;spam;sağlık
1803;Uzmanlar tarafından önerilen bu ürün ile sağlığınızı hızlı bir şekilde iyileştirebilirsiniz.;spam;sağlık
1804;Mucizevi etkileri kanıtlanan bu ürün ile kısa sürede sonuç alabilirsiniz.;spam;sağlık
1805;Sağlık sorunlarınızı çözmek için geliştirilen bu ürünü hemen deneyebilirsiniz.;spam;sağlık
1806;Sadece birkaç kullanımda etkisini gösteren bu ürün şimdi satışta.;spam;sağlık
1807;Doktorlar tarafından önerilen bu ürünü kullanarak sağlığınızı koruyabilirsiniz.;spam;sağlık
1808;Kısa sürede sonuç veren bu sağlık çözümü için hemen sipariş verin.;spam;sağlık
1809;Doğal içeriklerle üretilen bu ürün sayesinde sağlığınızı destekleyebilirsiniz.;spam;sağlık
1810;Bu ürün ile sağlık problemlerinizden kurtulabilirsiniz.;spam;sağlık
1811;Uzman tavsiyesi ile geliştirilen bu ürünü hemen kullanmaya başlayabilirsiniz.;spam;sağlık
1812;Yarın yapılacak toplantı için hazırlıklarınızı tamamlamanızı rica ederim, gündem maddeleri ekli dosyada yer almaktadır.;normal;iş
1813;Proje kapsamında hazırladığınız dosyayı inceleme fırsatı buldum, bazı noktalar için geri bildirim paylaşmanızı rica ederim.;normal;iş
1814;Haftalık raporu güncelledim ve ilgili değişiklikleri ekledim, kontrol ederek görüşlerinizi iletebilirsiniz.;normal;iş
1815;Yönetim toplantısı yarın saat 14:00’te gerçekleştirilecektir, katılımınız önemlidir.;normal;iş
1816;Yeni görev dağılımı hazırlanmış olup sistem üzerinden detaylara ulaşabilirsiniz.;normal;iş
1817;Toplantı bağlantısı tarafınıza iletilmiştir, belirtilen saatte katılım sağlamanızı rica ederim.;normal;iş
1818;Proje sürecinde yapılan değişiklikler hakkında sizi bilgilendirmek için bu mesajı gönderiyorum.;normal;iş
1819;Ekip toplantısı kapsamında alınan kararları ekte sizinle paylaşıyorum.;normal;iş
1820;Yarınki müşteri görüşmesi öncesinde gerekli dokümanları gözden geçirmenizi rica ederim.;normal;iş
1821;Görev takibinizi sistem üzerinden düzenli olarak kontrol etmenizi rica ederiz.;normal;iş
1822;Yarın yapılması planlanan ders, öğretim görevlisinin programındaki değişiklik nedeniyle iptal edilmiştir.;normal;eğitim
1823;Sınav sonuçları sisteme yüklenmiş olup öğrenci panelinizden erişebilirsiniz.;normal;eğitim
1824;Ödev teslim tarihi yoğunluk nedeniyle bir hafta ileri alınmıştır.;normal;eğitim
1825;Yeni ders programı açıklanmış olup detaylara okul sistemi üzerinden ulaşabilirsiniz.;normal;eğitim
1826;Yarın yapılacak sınavın kapsamı ders sorumlusu tarafından duyurulmuştur.;normal;eğitim
1827;Ders notları sisteme yüklenmiştir ve öğrencilerin erişimine açılmıştır.;normal;eğitim
1828;Final sınavı tarihi akademik takvim doğrultusunda güncellenmiştir.;normal;eğitim
1829;Yarın yapılacak ders farklı bir sınıfta gerçekleştirilecektir.;normal;eğitim
1830;Sunum tarihleri belirlenmiş olup öğrencilere bildirilmiştir.;normal;eğitim
1831;Akademik takvimde yapılan değişiklikler sisteme yansıtılmıştır.;normal;eğitim
1832;Siparişiniz hazırlanmış olup en kısa sürede kargoya verilmek üzere paketlenmektedir.;normal;kargo
1833;Kargonuz dağıtıma çıkarılmış olup gün içerisinde teslim edilmesi planlanmaktadır.;normal;kargo
1834;Gönderiniz transfer sürecinde olup en kısa sürede adresinize ulaştırılacaktır.;normal;kargo
1835;Kargonuz şubeye ulaşmış olup teslimat için sıraya alınmıştır.;normal;kargo
1836;Siparişiniz başarıyla oluşturulmuş ve işlem süreci başlatılmıştır.;normal;kargo
1837;Kargo takip numaranız oluşturulmuş olup sistem üzerinden kontrol edebilirsiniz.;normal;kargo
1838;Paketiniz dağıtım merkezinden çıkmış olup adresinize yönlendirilmiştir.;normal;kargo
1839;Teslimat süreci başlatılmış olup kargonuz yolda görünmektedir.;normal;kargo
1840;Siparişiniz teslim edilmiştir, iyi günlerde kullanmanızı dileriz.;normal;kargo
1841;Kargo işleminiz tamamlanmış olup detaylar tarafınıza iletilmiştir.;normal;kargo
1842;Faturanız başarıyla ödenmiş olup sistemde kapatılmıştır, detaylara hesabınızdan ulaşabilirsiniz.;normal;fatura
1843;Ödeme işleminiz tamamlanmış olup ilgili kayıtlar sistemde güncellenmiştir.;normal;fatura
1844;Aylık faturanız oluşturulmuş olup ödeme bilgileri tarafınıza iletilmiştir.;normal;fatura
1845;Fatura tutarınız tahsil edilmiş olup borç kaydınız kapatılmıştır.;normal;fatura
1846;Ödeme dekontunuz oluşturulmuş ve sistemde kayıt altına alınmıştır.;normal;fatura
1847;Fatura bilgileriniz güncellenmiş olup detayları inceleyebilirsiniz.;normal;fatura
1848;Son ödeme tarihi yaklaşan faturanız hakkında bilgilendirme yapılmaktadır.;normal;fatura
1849;Ödeme işlemi başarıyla tamamlanmış olup sistemde görünmektedir.;normal;fatura
1850;Fatura kaydınız oluşturulmuş ve tarafınıza iletilmiştir.;normal;fatura
1851;Tahsilat işlemi tamamlanmış olup ilgili kayıtlar güncellenmiştir.;normal;fatura
1852;Uzun zamandır görüşemiyoruz, müsait olduğunda bir araya gelmek isterim.;normal;kişisel
1853;Yarın eğer uygun olursan birlikte vakit geçirmek için plan yapabiliriz.;normal;kişisel
1854;Seni aramak istiyordum ancak müsait olup olmadığını öğrenmek için önce yazmak istedim.;normal;kişisel
1855;Hafta sonu için herhangi bir planın yoksa birlikte bir şeyler yapabiliriz.;normal;kişisel
1856;Son zamanlarda oldukça yoğundum, en kısa zamanda görüşmek isterim.;normal;kişisel
1857;Yarın akşam müsaitsen birlikte dışarı çıkabiliriz.;normal;kişisel
1858;Seninle konuşmak istediğim birkaç konu var, uygun olduğunda haber verir misin?;normal;kişisel
1859;Uzun süredir iletişim kuramadık, umarım her şey yolundadır.;normal;kişisel
1860;Yarın seni arayacağım, uygun olmazsan bana haber verebilirsin.;normal;kişisel
1861;Birlikte kahve içip sohbet etmek iyi olabilir, ne dersin?;normal;kişisel
1862;Yarın saat 10:00’da planlanan randevunuz için zamanında sağlık merkezinde bulunmanız gerekmektedir.;normal;sağlık
1863;Tahlil sonuçlarınız sisteme yüklenmiş olup doktorunuz tarafından değerlendirilmektedir.;normal;sağlık
1864;Muayene randevunuz oluşturulmuş olup detaylar tarafınıza iletilmiştir.;normal;sağlık
1865;Kontrol randevunuz planlanmış olup belirtilen tarihte gelmeniz rica olunur.;normal;sağlık
1866;Sağlık kaydınız güncellenmiş olup sistem üzerinden görüntüleyebilirsiniz.;normal;sağlık
1867;Randevu saatiniz değişmiş olup yeni saat bilgisi tarafınıza gönderilmiştir.;normal;sağlık
1868;Tedavi süreciniz başlatılmış olup gerekli bilgilendirmeler yapılacaktır.;normal;sağlık
1869;Doktor görüşmeniz planlanmış olup ilgili bilgiler paylaşılmıştır.;normal;sağlık
1870;Sağlık hizmetiniz kapsamında yeni randevu oluşturulmuştur.;normal;sağlık
1871;Randevu hatırlatması yapılmakta olup belirtilen saatte hazır bulunmanız gerekmektedir.;normal;sağlık
1872;Şifre değişikliği işleminiz başarıyla tamamlanmış olup yeni şifreniz aktif hale getirilmiştir.;normal;teknik
1873;Sistem güncellemesi tamamlanmış olup hizmet kesintisi sona ermiştir.;normal;teknik
1874;Destek talebiniz alınmış olup en kısa sürede tarafınıza dönüş yapılacaktır.;normal;teknik
1875;Hesap oluşturma işleminiz tamamlanmış olup giriş yapabilirsiniz.;normal;teknik
1876;Sunucu bağlantısı sağlanmış olup sistem normal şekilde çalışmaktadır.;normal;teknik
1877;Yaşanan teknik sorun giderilmiş olup işlemlerinize devam edebilirsiniz.;normal;teknik
1878;Güncelleme işlemi başarıyla tamamlanmış ve sistem aktif hale getirilmiştir.;normal;teknik
1879;Hesap doğrulama işleminiz tamamlanmış olup erişim sağlanmıştır.;normal;teknik
1880;Bağlantı problemi çözülmüş olup sistem tekrar aktif edilmiştir.;normal;teknik
1881;Teknik destek ekibimiz talebinizi incelemektedir ve kısa sürede dönüş yapacaktır.;normal;teknik
1882;Hesabınızda gerçekleştirilen olağandışı işlemler nedeniyle güvenlik sistemimiz tarafından geçici bir kısıtlama uygulanmış olup hesabınıza tekrar erişebilmeniz için kimlik doğrulama yapmanız gerekmektedir.;spam;banka
1883;Bankamız tarafından yapılan rutin güvenlik kontrolleri sırasında hesabınız riskli olarak işaretlenmiş ve geçici olarak erişime kapatılmıştır.;spam;banka
1884;Kartınızla yapılan son işlemler doğrulanamadığı için güvenlik önlemi kapsamında kullanımınız sınırlandırılmıştır ve işlem yapmanız gerekmektedir.;spam;banka
1885;Hesap bilgilerinizin güncel olmaması nedeniyle güvenlik doğrulaması zorunlu hale getirilmiş olup giriş yapmanız gerekmektedir.;spam;banka
1886;Mobil bankacılık erişiminiz güvenlik ihlali şüphesi nedeniyle geçici olarak askıya alınmıştır ve doğrulama yapılması gerekmektedir.;spam;banka
1887;Hesabınızda şüpheli işlem tespit edildiği için güvenlik incelemesi başlatılmış olup erişiminiz geçici olarak durdurulmuştur.;spam;banka
1888;Kart bilgilerinizin doğrulanmaması nedeniyle işlemleriniz bloke edilmiş olup kontrol etmeniz gerekmektedir.;spam;banka
1889;Bankamız tarafından yapılan inceleme sonucunda hesabınızda riskli hareketler tespit edilmiş ve geçici kısıtlama uygulanmıştır.;spam;banka
1890;Hesabınızın güvenliğini sağlamak amacıyla sistem tarafından ek doğrulama talep edilmektedir.;spam;banka
1891;Kartınızın yetkisiz kullanımını önlemek amacıyla erişiminiz sınırlandırılmıştır ve işlem yapmanız gerekmektedir.;spam;banka
1892;Kargonuz teslimat sırasında adres bilgilerinde eksiklik tespit edildiği için alıcıya ulaştırılamamış ve dağıtım merkezinde bekletilmektedir.;spam;kargo
1893;Gönderiniz teslim sürecinde yaşanan teknik bir hata nedeniyle dağıtıma çıkarılamamış olup yeniden işlem yapılması gerekmektedir.;spam;kargo
1894;Paketiniz teslim edilemediği için şubede bekletilmekte olup iade sürecine girmemesi için işlem yapmanız önerilmektedir.;spam;kargo
1895;Gönderiniz alıcıya ulaştırılamadığı için teslim süreci askıya alınmış ve sistem üzerinden işlem yapılması gerekmektedir.;spam;kargo
1896;Kargonuz eksik bilgi nedeniyle teslim edilememiş olup yeniden teslimat planı oluşturmanız gerekmektedir.;spam;kargo
1897;Teslimat sırasında yaşanan sorun nedeniyle paketiniz dağıtım merkezinde bekletilmektedir.;spam;kargo
1898;Gönderiniz teslim edilemediği için sistem tarafından beklemeye alınmıştır ve işlem yapılması gerekmektedir.;spam;kargo
1899;Kargonuzun teslim edilebilmesi için adres bilgilerinizin doğrulanması gerekmektedir.;spam;kargo
1900;Teslimat sürecinde oluşan hata nedeniyle gönderiniz geçici olarak durdurulmuştur.;spam;kargo
1901;Hesabınızın güvenliğini sağlamak amacıyla kimlik doğrulama işleminin tamamlanması gerekmekte olup aksi halde erişiminiz kısıtlanacaktır.;spam;kimlik avı
1902;Sistem güncellemesi kapsamında hesabınızın doğrulanması zorunlu hale getirilmiş ve işlem yapılması gerekmektedir.;spam;kimlik avı
1903;E-posta hesabınızın aktif kalabilmesi için bilgilerinizi doğrulamanız gerekmektedir.;spam;kimlik avı
1904;Hesabınızda yapılan değişiklikler nedeniyle doğrulama işlemi tamamlanana kadar erişiminiz sınırlandırılmıştır.;spam;kimlik avı
1905;Güvenlik protokolleri gereği kimlik doğrulama işlemini tamamlamadan sistem erişimi sağlanamayacaktır.;spam;kimlik avı
1906;Hesabınız doğrulanmadığı için geçici olarak askıya alınmış olup işlem yapılması gerekmektedir.;spam;kimlik avı
1907;Bilgileriniz eksik olduğu için hesap doğrulama süreci başlatılmıştır.;spam;kimlik avı
1908;Sistem erişiminizin devam edebilmesi için kimlik doğrulaması zorunludur.;spam;kimlik avı
1909;Hesap güvenliği kapsamında doğrulama işlemi yapılması gerekmektedir.;spam;kimlik avı
1910;Kimlik doğrulama işlemi tamamlanmadığı için erişiminiz durdurulmuştur.;spam;kimlik avı
1911;Yeni yatırım sistemimize katılarak kısa sürede yüksek kazanç elde etme fırsatını değerlendirebilirsiniz.;spam;yatırım
1912;Finansal hedeflerinize ulaşmak için özel olarak hazırlanan yatırım planımıza dahil olabilirsiniz.;spam;yatırım
1913;Uzmanlar tarafından geliştirilen bu yatırım modeli ile düzenli gelir elde etme imkanı sunulmaktadır.;spam;yatırım
1914;Yatırım platformumuza katılarak düşük riskle yüksek kazanç sağlama fırsatını kaçırmayın.;spam;yatırım
1915;Kazanç sistemimize dahil olarak finansal özgürlüğe ulaşabilirsiniz.;spam;yatırım
1916;Yeni yatırım fırsatlarımız sayesinde gelir elde etmeye hemen başlayabilirsiniz.;spam;yatırım
1917;Yatırım sürecine katılarak kazanç elde etme imkanını değerlendirebilirsiniz.;spam;yatırım
1918;Platformumuz üzerinden işlem yaparak kazanç sağlama fırsatını yakalayabilirsiniz.;spam;yatırım
1919;Yatırım planlarımız ile kısa sürede gelir elde etme şansını değerlendirin.;spam;yatırım
1920;Finansal kazanç sağlamak için yatırım programımıza kayıt olmanız gerekmektedir.;spam;yatırım
1921;Hesabınızla ilgili kritik bir güvenlik sorunu tespit edilmiş olup gerekli işlemler yapılmazsa erişiminiz kalıcı olarak kapatılacaktır.;spam;tehdit
1922;Son uyarı olarak bilgilendiriliyorsunuz, belirtilen süre içerisinde işlem yapılmazsa hesabınız silinecektir.;spam;tehdit
1923;Acil işlem yapılmadığı takdirde sistem erişiminiz tamamen sonlandırılacaktır.;spam;tehdit
1924;Hesap güvenliğiniz risk altındadır ve gerekli işlemleri derhal gerçekleştirmeniz gerekmektedir.;spam;tehdit
1925;Belirtilen süre içerisinde işlem yapılmaması halinde hizmetleriniz askıya alınacaktır.;spam;tehdit
1926;Sistem tarafından gönderilen son uyarıdır, işlem yapılması zorunludur.;spam;tehdit
1927;Erişiminizin devam edebilmesi için gerekli doğrulama işlemini acilen tamamlamanız gerekmektedir.;spam;tehdit
1928;Hesabınızın aktif kalabilmesi için işlem yapılması zorunludur.;spam;tehdit
1929;Güvenlik ihlali tespit edilmiştir ve müdahale edilmemesi durumunda erişiminiz kapatılacaktır.;spam;tehdit
1930;Aksi takdirde hizmetleriniz tamamen durdurulacaktır.;spam;tehdit
1931;Adınıza düzenlenen faturanın ödenmemiş olduğu tespit edilmiş olup gecikme yaşamamak için ödeme yapmanız gerekmektedir.;spam;fatura
1932;Yarın yapılacak proje toplantısı için hazırlıklarınızı tamamlamanızı ve ilgili dokümanları önceden incelemenizi rica ederim.;normal;iş
1933;Ekip içinde yapılan son güncellemeler doğrultusunda görev dağılımı yeniden düzenlenmiş olup detayları sistem üzerinden inceleyebilirsiniz.;normal;iş
1934;Müşteri ile gerçekleştirilecek görüşme öncesinde gerekli belgelerin kontrol edilmesi gerekmektedir.;normal;iş
1935;Haftalık değerlendirme toplantısında ele alınacak konular ekte sizinle paylaşılmıştır.;normal;iş
1936;Proje sürecinde yaşanan gelişmeler hakkında sizi bilgilendirmek amacıyla bu mesajı iletiyorum.;normal;iş
1937;Yarın yapılacak toplantıya katılım durumunuzu önceden bildirmenizi rica ederim.;normal;iş
1938;Yeni iş planı hazırlanmış olup tüm ekip üyelerinin incelemesi gerekmektedir.;normal;iş
1939;Toplantı sırasında alınan kararlar doğrultusunda gerekli aksiyonların alınması beklenmektedir.;normal;iş
1940;Güncel proje durumu hakkında kısa bir değerlendirme paylaşmanızı rica ederim.;normal;iş
1941;Yarın yapılacak görüşme için sunum dosyasının son halinin hazırlanması gerekmektedir.;normal;iş
1942;Yarın yapılması planlanan ders, öğretim görevlisinin programındaki değişiklik nedeniyle ileri bir tarihe ertelenmiştir.;normal;eğitim
1943;Sınav sonuçları sisteme yüklenmiş olup öğrenciler kendi hesapları üzerinden detaylara ulaşabilirler.;normal;eğitim
1944;Ödev teslim tarihi öğrencilerin talepleri doğrultusunda uzatılmış olup yeni tarih duyurulmuştur.;normal;eğitim
1945;Yeni ders programı hazırlanmış ve sistem üzerinden erişime açılmıştır.;normal;eğitim
1946;Yarın yapılacak sınavın kapsamı ders sorumlusu tarafından detaylı şekilde açıklanmıştır.;normal;eğitim
1947;Ders notları güncellenmiş olup öğrencilerin erişimine sunulmuştur.;normal;eğitim
1948;Final sınavı tarihi akademik takvim doğrultusunda yeniden belirlenmiştir.;normal;eğitim
1949;Yarın yapılacak ders farklı bir sınıfta gerçekleştirilecektir ve öğrencilerin dikkatli olması gerekmektedir.;normal;eğitim
1950;Sunum tarihleri belirlenmiş olup öğrencilere duyurulmuştur.;normal;eğitim
1951;Akademik takvimde yapılan değişiklikler sisteme yansıtılmıştır ve öğrencilerin kontrol etmesi önerilmektedir.;normal;eğitim
1952;Siparişiniz hazırlanmış olup paketleme işlemleri tamamlandıktan sonra kargoya verilecektir.;normal;kargo
1953;Kargonuz dağıtıma çıkarılmış olup gün içerisinde adresinize teslim edilmesi planlanmaktadır.;normal;kargo
1954;Gönderiniz transfer sürecinde olup en kısa sürede teslimat şubesine ulaşacaktır.;normal;kargo
1955;Kargonuz ilgili şubeye ulaşmış olup teslimat için sıraya alınmıştır.;normal;kargo
1956;Siparişiniz başarıyla oluşturulmuş olup işlem süreci başlatılmıştır.;normal;kargo
1957;Kargo takip numaranız oluşturulmuş olup sistem üzerinden detaylı bilgi alabilirsiniz.;normal;kargo
1958;Teslimat süreci başlatılmış olup gönderiniz yolda görünmektedir.;normal;kargo
1959;Siparişiniz teslim edilmiş olup detaylar tarafınıza iletilmiştir.;normal;kargo
1960;Kargo işleminiz tamamlanmış olup gönderi bilgileri sistemde güncellenmiştir.;normal;kargo
1961;Faturanız başarıyla ödenmiş olup sistemde ilgili kayıt kapatılmıştır ve detaylara hesabınızdan ulaşabilirsiniz.;normal;fatura
1962;Ödeme işleminiz tamamlanmış olup ilgili bilgiler sistemde güncellenmiştir.;normal;fatura
1963;Uzun zamandır görüşemiyoruz, müsait olduğun bir zamanda bir araya gelmek isterim.;normal;kişisel
1964;Seni aramak istiyordum ancak uygun olup olmadığını öğrenmek için önce yazmayı tercih ettim.;normal;kişisel
1965;Seninle konuşmak istediğim bazı konular var, uygun olduğunda bana haber verebilir misin?;normal;kişisel
1966;Yarın saat 10:00’da planlanan randevunuz için belirtilen sağlık merkezinde hazır bulunmanız gerekmektedir.;normal;sağlık
1967;Tahlil sonuçlarınız sisteme yüklenmiş olup doktorunuz tarafından değerlendirme sürecindedir.;normal;sağlık
1968;Hesap oluşturma işleminiz tamamlanmış olup sisteme giriş yapabilirsiniz.;normal;teknik
1969;Teknik destek ekibimiz talebinizi incelemekte olup kısa sürede dönüş yapacaktır.;normal;teknik
1970;Hattınız başarıyla aktive edildi.;normal;operatör
1971;Tarifeniz yenilendi.;normal;operatör
1972;Fatura bilgilendirmesi gönderildi.;normal;operatör
1973;İnternet kullanımınız güncellendi.;normal;operatör
1974;Paketiniz tanımlandı.;normal;operatör
1975;Fatura ödemeniz alındı.;normal;operatör
1976;Hattınıza yükleme yapıldı.;normal;operatör
1977;Tarife değişikliğiniz onaylandı.;normal;operatör
1978;Kalan kullanım haklarınız görüntülendi.;normal;operatör
1979;Fatura kesim tarihiniz güncellendi.;normal;operatör
1980;Paket süreniz uzatıldı.;normal;operatör
1981;Hat açma işlemi tamamlandı.;normal;operatör
1982;Kullanım detaylarınız hazır.;normal;operatör
1983;Yeni kampanya bilgisi gönderildi.;normal;operatör
1984;Hattınız aktif durumda.;normal;operatör
1985;Tarife bilgileri güncellendi.;normal;operatör
1986;SMS kullanımınız kaydedildi.;normal;operatör
1987;İnternet paketiniz yenilendi.;normal;operatör
1988;Hattınızdan işlem yapıldı.;normal;operatör
1989;Fatura detaylarınız eklendi.;normal;operatör
1990;Kampanya kaydınız oluşturuldu.;normal;operatör
1991;Kullanım raporunuz hazır.;normal;operatör
1992;Hat bilgileri güncellendi.;normal;operatör
1993;Tarife süresi uzatıldı.;normal;operatör
1994;Paketiniz aktif edildi.;normal;operatör
1995;Fatura bildirimi iletildi.;normal;operatör
1996;Kullanım bilgileri doğrulandı.;normal;operatör
1997;Yeni paket önerisi sunuldu.;normal;operatör
1998;Hattınız yeniden başlatıldı.;normal;operatör
1999;Tarife planınız güncellendi.;normal;operatör
2000;Fatura kaydınız oluşturuldu.;normal;operatör
2001;Paket detayları eklendi.;normal;operatör
2002;Hattınız sisteme eklendi.;normal;operatör
2003;Kullanım bildirimi gönderildi.;normal;operatör
2004;Tarife değişikliği tamamlandı.;normal;operatör
2005;Hattınız kontrol edildi.;normal;operatör
2006;İnternet hızınız güncellendi.;normal;operatör
2007;Fatura işlemi tamamlandı.;normal;operatör
2008;Kampanya süreniz devam ediyor.;normal;operatör
2009;Hattınız başarıyla güncellendi.;normal;operatör
2010;Hattınız kapanacak, hemen ödeme yapın.;spam;operatör
2011;Tarifenizi yenilemek için tıklayın.;spam;operatör
2012;Fatura borcunuzu ödemek için giriş yapın.;spam;operatör
2013;İnternet paketiniz askıya alındı.;spam;operatör
2014;Hattınızı aktif etmek için doğrulayın.;spam;operatör
2015;Ödeme yapmazsanız hat kapatılacak.;spam;operatör
2016;Tarife fırsatını kaçırmayın.;spam;operatör
2017;Hattınızı kurtarmak için giriş yapın.;spam;operatör
2018;Paketiniz iptal edilecek.;spam;operatör
2019;Acil ödeme gerekli.;spam;operatör
2020;Fatura borcunuzu hemen kapatın.;spam;operatör
2021;Hattınız risk altında.;spam;operatör
2022;Tarife değişikliği için giriş yapın.;spam;operatör
2023;Hattınızı kontrol edin.;spam;operatör
2024;Fatura bildiriminizi görüntüleyin.;spam;operatör
2025;Tarifeniz askıya alındı.;spam;operatör
2026;Kampanya fırsatını kaçırmayın.;spam;operatör
2027;Hattınızı doğrulayın.;spam;operatör
2028;Fatura bilgilerinizi girin.;spam;operatör
2029;Tarifenizi güncelleyin.;spam;operatör
2030;Paketiniz sona eriyor.;spam;operatör
2031;Hattınızı kapatılmadan kurtarın.;spam;operatör
2032;Fırsat sizi bekliyor.;spam;operatör
2033;Tarife süresi doluyor.;spam;operatör
2034;Hattınızı aktif edin.;spam;operatör
2035;Fatura borcunuzu kapatın.;spam;operatör
2036;Puanlarınız hesabınıza yüklendi.;normal;puan
2037;Sadakat programına katıldınız.;normal;puan
2038;Kazandığınız puanlar güncellendi.;normal;puan
2039;Puan bakiyeniz görüntülendi.;normal;puan
2040;Ödül puanlarınız eklendi.;normal;puan
2041;Puan kullanımınız kaydedildi.;normal;puan
2042;Kampanya puanları tanımlandı.;normal;puan
2043;Puanlarınızla alışveriş yapabilirsiniz.;normal;puan
2044;Sadakat hesabınız aktif edildi.;normal;puan
2045;Puan geçmişiniz güncellendi.;normal;puan
2046;Yeni kampanya başlatıldı.;normal;puan
2047;Puanlarınız doğrulandı.;normal;puan
2048;Sadakat bildirimi gönderildi.;normal;puan
2049;Puan kazanımı tamamlandı.;normal;puan
2050;Hediye puanlarınız yüklendi.;normal;puan
2051;Puan kullanımı onaylandı.;normal;puan
2052;Kampanya katılımınız alındı.;normal;puan
2053;Puan detaylarınız eklendi.;normal;puan
2054;Sadakat programı güncellendi.;normal;puan
2055;Puanlarınız hazır.;normal;puan
2056;Kazanım bildirimi gönderildi.;normal;puan
2057;Puanlarınız hesaplandı.;normal;puan
2058;Sadakat avantajları tanımlandı.;normal;puan
2059;Puan kullanım süresi uzatıldı.;normal;puan
2060;Puan kaydınız oluşturuldu.;normal;puan
2061;Yeni puan fırsatı eklendi.;normal;puan
2062;Sadakat hesabınız güncellendi.;normal;puan
2063;Puan bildirimi iletildi.;normal;puan
2064;Puan işlemi tamamlandı.;normal;puan
2065;Sadakat avantajlarınız aktif.;normal;puan
2066;Puan yüklemesi yapıldı.;normal;puan
2067;Kampanya puanı kazandınız.;normal;puan
2068;Puan bilgisi güncellendi.;normal;puan
2069;Sadakat kaydınız oluşturuldu.;normal;puan
2070;Puan kazanımı doğrulandı.;normal;puan
2071;Yeni puan fırsatı sunuldu.;normal;puan
2072;Sadakat işlemi tamamlandı.;normal;puan
2073;Puan kullanım bildirimi gönderildi.;normal;puan
2074;Puanlarınız aktif edildi.;normal;puan
2075;Puanlarınızı hemen kullanmak için tıklayın.;spam;puan
2076;Ücretsiz puan kazandınız.;spam;puan
2077;Puan hesabınızı doğrulayın.;spam;puan
2078;Puanlarınız silinecek.;spam;puan
2079;Puanlarınızı almak için tıklayın.;spam;puan
2080;Sadakat hesabınızı doğrulayın.;spam;puan
2081;Puan fırsatı başladı.;spam;puan
2082;Puanlarınızı hemen harcayın.;spam;puan
2083;Puan hesabınız askıya alındı.;spam;puan
2084;Giriş yaparak puan alın.;spam;puan
2085;Ücretsiz ödül sizi bekliyor.;spam;puan
2086;Puan fırsatını kaçırmayın.;spam;puan
2087;Puanlarınızı kaybetmeyin.;spam;puan
2088;Sadakat avantajlarını alın.;spam;puan
2089;Puanlarınızı görmek için tıklayın.;spam;puan
2090;Ödül puanı kazandınız.;spam;puan
2091;Puan hesabınızı güncelleyin.;spam;puan
2092;Kampanya fırsatı başladı.;spam;puan
2093;Puanlarınız risk altında.;spam;puan
2094;Hemen kullanın.;spam;puan
